libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card4: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card3: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card2: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card1: Permission denied

/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cuda
global_step=8036, episodic_return=[10.143597]
global_step=8049, episodic_return=[12.141831]
global_step=8079, episodic_return=[37.25815]
global_step=8091, episodic_return=[8.671817]
global_step=8118, episodic_return=[23.392572]
global_step=8126, episodic_return=[5.6830845]
global_step=8143, episodic_return=[9.769609]
global_step=8160, episodic_return=[10.565193]
global_step=8172, episodic_return=[7.1825767]
global_step=8221, episodic_return=[45.24547]
global_step=8249, episodic_return=[22.001558]
global_step=8269, episodic_return=[21.077145]
global_step=8295, episodic_return=[14.34126]
global_step=8313, episodic_return=[14.265655]
global_step=8333, episodic_return=[16.408968]
global_step=8347, episodic_return=[8.9811735]
global_step=8390, episodic_return=[71.31593]
global_step=8403, episodic_return=[9.0841875]
global_step=8420, episodic_return=[14.24382]
global_step=8444, episodic_return=[24.650354]
global_step=8466, episodic_return=[19.613718]
global_step=8479, episodic_return=[7.315206]
global_step=8496, episodic_return=[16.993093]
global_step=8519, episodic_return=[10.404928]
global_step=8533, episodic_return=[11.485537]
global_step=8569, episodic_return=[21.876434]
global_step=8583, episodic_return=[9.413574]
global_step=8596, episodic_return=[9.232574]
global_step=8619, episodic_return=[21.755713]
global_step=8631, episodic_return=[10.05321]
global_step=8682, episodic_return=[51.84358]
global_step=8697, episodic_return=[13.041551]
global_step=8710, episodic_return=[6.0056076]
global_step=8753, episodic_return=[32.81273]
global_step=8777, episodic_return=[15.20562]
global_step=8794, episodic_return=[13.613833]
global_step=8811, episodic_return=[13.585773]
global_step=8842, episodic_return=[32.970882]
global_step=8865, episodic_return=[17.984535]
global_step=8887, episodic_return=[13.938408]
global_step=8901, episodic_return=[10.45434]
global_step=8917, episodic_return=[10.497807]
global_step=8933, episodic_return=[11.264815]
global_step=8942, episodic_return=[7.073494]
global_step=8976, episodic_return=[35.97504]
global_step=8996, episodic_return=[16.939629]
global_step=9015, episodic_return=[11.245622]
